"fulladdr","DETLOC","Name","Address","City","County","State","Zip","Circuit","AOR","Docket","Type","Type.Detailed","ICE.Funded","Male.Female","Levels.A.B.C.D","Capacity","Current.FY.Utilization","Population.Count","Date.of.Last.Use","Date.of.First.Use","FY18.Max.Population.Count","FY18.ADP","FY17.ADP","FY16.ADP","FY15.ADP","FY14.ADP","FY13.ADP","FY12.ADP","FY11.ADP","FY10.ADP","FY09.ADP","X2016.11.01","X2016.12.01","X2017.01.01","X2017.02.01","X2017.03.01","X2017.04.01","X2017.05.01","X2017.06.01","X2017.07.01","X2017.08.01","X2017.09.01","X2017.10.01","X2017.11.01","FY18.ALOS","FY17.ALOS","FY16.ALOS","FY15.ALOS","FY18.Facility.Bookins","FY17.Facility.Bookins","FY16.Facility.Bookins","FY15.Facility.Bookins","FY18.Initial.Bookins","FY17.Initial.Bookins","FY16.Initial.Bookins","FY15.Initial.Bookins","FY18.Initial.Bookin.ADP","FY17.Initial.Bookin.ADP","FY16.Initial.Bookin.ADP","FY15.Initial.Bookin.ADP","FY18.Non.Criminal","FY18.Criminal","FY17.Non.Criminal","FY17.Criminal","FY16.Non.Criminal","FY16.Criminal","FY15.Non.Criminal","FY15.Criminal","Level.A","Level.B","Level.C","Level.D","Male.Crim","Male.Non.Crim","Female.Crim","Female.Non.Crim","ICE.Threat.Level.1","ICE.Threat.Level.2","ICE.Threat.Level.3","No.ICE.Threat.Level","Mandatory","Non.Mandatory","Medical.Provider.Onsite.","Provider.Type","Facility.Operator","Facility.Owner","Best.Known.Contract.Initiation.Date","Best.Known.Contract.Expiration.Date","Guaranteed.Minimum","Per.Diem.Rate.Detailed","ICE.Telephone.Services","Authorization.Status","Authorizing.Authority","Over.Under.72","Contractually.Obligated.Inspection.Standard","PREA.Standard.2.11.Status","Current.Inspection.Frequency","Last.Inspection.Type","Last.Inspection.Standard","Last.Inspection.Pre.Occ.","Last.Inspection.Rating...Final","Last.Inspection.Rating...Recommended","Last.Inspection.Date","Second.to.Last.Inspection.Type","Second.to.Last.Inspection.Standard","Second.to.Last.Inspection.Pre.Occ.","Second.to.Last.Rating","Second.to.Last.Inspection.Date","Next.Inspection.Date","Next.Inspection.Standard","Next.Inspection.Type","Next.Insp.Pre.Occ.","CY17.Rating","CY16.Rating","CY15.RATING","CY14.RATING","CY13.RATING","CY12.RATING","CY11.RATING","CY10.RATING","EMDD.Notes","EMDD.USE","ACA","NCCHC","JCHCO","DSM.Assigned.","DSM.Assignment.Type","FY18.Calendar.Days.in.Use","FY18.Possible.Days","FY18...of.Days.in.Use","FY18.Total.Mandays","FY17.Calendar.Days.in.Use","FY17...of.Days.in.Use","FY17.Total.Mandays","FY17.Max.Pop.Count","street","zip","city","state","lat","lon","score","prenum","number","precision","street1","street2"
"300 DAYS DRIVE SUTTON WV 26601","CENTRWV","CENTRAL REGIONAL JAIL","300 DAYS DRIVE","SUTTON","BRAXTON","WV","26601","4","PHI","CHS","IGSA","IGSA","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","29.01.2013","29.01.2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","COUNTY (CORRECTIONS)","RJA","","","","$56.00","","NOT INSPECTED","DMCP","Over 72","","","N/A","Regular","NDS","No","Superior","Acceptable","14.11.2008","Regular","NDS","No","Superior","07.11.2007","","N/A","N/A","No","","","","","","","","","","No","NO","YES","NO","No","","0","400","0.00%","0","0","0.00%","0","0","Days Dr","26601","Sutton","WV",38.695637,-80.657354,0.815,"","299","street",NA,NA
"300 E 26TH ST # 105 BRYAN TX 77801","BRAZOTX","BRAZOS COUNTY JAIL","300 E 26TH ST # 105","BRYAN","BRAZOS","TX","77801","5","SNA","SNA","IGSA","IGSA","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","21.01.2003","03.12.1998","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","NOT INSPECTED","DMCP","Under 72","","","N/A","Regular","NDS","No","Superior","Acceptable","28.04.2006","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","E 26th St","77803",NA,NA,30.673516,-96.371178,0.645,"","300","range",NA,NA
"300 E. SHEPHERD STREET LUFKIN TX 75901","LUFKNTX","LUFKIN POLICE DEPARTMENT","300 E. SHEPHERD STREET","LUFKIN","ANGELINA","TX","75901","5","HOU","","Other","Other","Yes","Female/Male","","AS NEEDED","","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","NOT INSPECTED","DMCP","","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","","","","No","","0","400","0.00%","0","0","0.00%","0","0","E Shepherd Ave","75901","Lufkin","TX",31.337459,-94.727097,0.864,"","300","range",NA,NA
"300 EAST 4TH MONAHANS TX 79756","WARCOTX","WARD COUNTY JAIL","300 EAST 4TH","MONAHANS","WARD","TX","79756","5","ELP","EPC","USMS IGA","USMS IGA","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","03.04.2015","11.03.1997","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","1","0","0","1","2","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","COUNTY","","","","","","","NOT INSPECTED","DMCP","Under 72","","","N/A","Regular","NDS","No","Superior","Acceptable","22.11.2006","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","E 4th St","79756","Monahans","TX",31.592504,-102.889923,0.817,"","300","range",NA,NA
"300 EAST 8TH STREET AUSTIN TX 78701","AUSHOLD","AUSTIN DRO HOLD ROOM","300 EAST 8TH STREET","AUSTIN","TRAVIS","TX","78701","5","SNA","AUS","Other","HOLD","Yes","Male","A, B, C","AS NEEDED","","4","01.08.2017","25.06.2010","4","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","","0","0","0","109","1443","1303","1711","87","1087","981","1301","116","86","84","94","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","NOT INSPECTED","DMCP","Under 72","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","1","400","0.00%","46","38","10.00%","61","3","E 8th St","78701","Austin","TX",30.269235,-97.739695,0.874,"","300","range",NA,NA
"300 EAST 8TH STREET SIOUX FALLS SD 57103","SFDHOLD","SIOUX FALLS HOLD ROOM","300 EAST 8TH STREET","SIOUX FALLS","MINNEHAHA","SD","57103","8","SPM","SPM","Other","HOLD","Yes","Female/Male","A, B, C","AS NEEDED","","0","17.06.2017","04.05.2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","","45","143","96","99","11","82","96","98","12","15","15","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","NOT INSPECTED","DMCP","Under 72","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","3","1.00%","4","2","E 8th St","57103","Sioux Falls","SD",43.548703,-96.724368,0.889,"","300","range",NA,NA
"300 FANIN ST. #1202 SHREVEPORT LA 71101","USMWDLA","US MARSHALS, W.D. L.A.","300 FANIN ST. #1202","SHREVEPORT","CADDO PARISH","LA","71101","5","NOL","","USMS IGA","USMS IGA","Yes","Female/Male","","AS NEEDED","","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","1","1","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","NOT INSPECTED","DMCP","Over 72","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","","","","No","","0","400","0.00%","0","0","0.00%","0","0","Fannin St","71101","Shreveport","LA",32.515898,-93.749405,0.865,"","300","range",NA,NA
"300 HAIL KNOB ROAD SOMERSET KY 42503","PULASKY","PULASKI COUNTY DETENTION CENTER","300 HAIL KNOB ROAD","SOMERSET","PULASKI","KY","42503","6","CHI","CHI","IGSA","IGSA","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","13.01.2006","19.10.2000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","COUNTY","","","","","$76.00","","NOT INSPECTED","DMCP","","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","Hail Knob Rd","42503","Somerset","KY",37.084185,-84.624663,0.839,"","298","street",NA,NA
"300 IBERIA STREET, SUITE 120 NEW IBERIA LA 70560","IBERILA","IBERIA PARISH JAIL","300 IBERIA STREET, SUITE 120","NEW IBERIA","IBERIA","LA","70560","5","NOL","NOL","IGSA","IGSA","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","12.08.2004","05.11.1998","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","COUNTY","","","","","","","NOT INSPECTED","DMCP","","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","N Iberia St","70560","New Iberia","LA",30.005964,-91.81835,0.567,"","198","street",NA,NA
"300 N. LOS ANGELES ST. LOS ANGELES CA 90012","BOPLOS","LOS ANGELES MET.DETENTION","300 N. LOS ANGELES ST.","LOS ANGELES","RAPIDES","CA","90012","9","LOS","LOS","BOP","BOP","No","Female/Male","A, B, C, D","AS NEEDED","","0","24.09.2008","17.11.1989","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","BOP","","","","","Not ICE Funded","","NOT INSPECTED","BOP","","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","N Los Angeles St","90012","Los Angeles","CA",34.054191,-118.240207,0.941,"","300","range",NA,NA
"300 N. LOS ANGELES ST. RM B-18 SAN PEDRO CA 90731","LOSHOLD","LOS ANGELES CUSTODY CASE","300 N. LOS ANGELES ST. RM B-18","SAN PEDRO","LOS ANGELES","CA","90731","9","LOS","LOS","Other","HOLD","Yes","Female/Male","A, B, C, D","AS NEEDED","","1","04.11.2017","01.01.1983","14","4","4","3","4","11","8","5","4","3","15","4","4","6","4","4","3","4","3","3","3","4","3","6","0","0","0","0","2962","13865","14167","15351","624","2980","3096","3598","708","653","634","720","1","3","1","3","1","3","2","3","0","2","1","1","3","0","0","0","2","0","1","1","3","1","YES","IHSC","FEDERAL","","","","","","Pro-bono Platform (Talton)","NOT INSPECTED","DMCP","Under 72","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","35","400","9.00%","1486","372","102.00%","1433","79","Lois Ave","90731","San Pedro","CA",33.750491,-118.296675,0.573,"","900","street",NA,NA
"300 NORTH DENVER AVENUE TULSA OK 74103","TULCOOK","TULSA COUNTY JAIL (DAVID L. MOSS JUSTICE CTR)","300 NORTH DENVER AVENUE","TULSA","TULSA","OK","74103","10","DAL","OKC","IGSA","IGSA","Yes","Female/Male","A, B, C, D","AS NEEDED","","182","04.11.2017","22.10.1990","206","188","169","132","122","135","139","162","154","121","147","150","162","177","164","171","166","153","189","165","181","188","188","190","49","21","26","23","264","2935","1775","1914","238","2781","1339","1179","240","220","116","101","79","109","48","121","45","86","15","107","85","35","43","25","99","69","10","10","41","31","37","79","61","128","YES","COUNTY","COUNTY (SHERIFF)","COUNTY","19.09.2007","","","$54.13","Pro-bono Platform (Talton)","AUTHORIZED","DMCP","Over 72","NDS","Standard 2.11","Annual","Regular","NDS","No","Acceptable","Acceptable","25.05.2017","Regular","NDS","No","Acceptable","26.05.2016","","NDS","Regular","No","Acceptable","Acceptable","Acceptable","Acceptable","Acceptable","Acceptable","Acceptable","Superior","2009 DEFICIENT","Yes","YES","NO","NO","No","NONE","35","400","9.00%","75280","372","102.00%","61563","219","N Denver Ave","74103","Tulsa","OK",36.158006,-95.997731,0.922,"","300","range",NA,NA
"300 NORTH RACHAL AVENUE SINTON TX 78387","SANPATX","SAN PATRICIO COUNTY JAIL","300 NORTH RACHAL AVENUE","SINTON","SAN PATRICIO","TX","78387","5","SNA","SNA","IGSA","IGSA","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","02.02.1999","30.05.1998","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","NOT INSPECTED","DMCP","","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","N Rachal Ave","78387","Sinton","TX",28.038934,-97.510444,0.925,"","300","range",NA,NA
"300 SOUTH COURTLAND CHAMBERLAIN SD 57325","BRULESD","BRULE COUNTY JAIL","300 SOUTH COURTLAND","CHAMBERLAIN","BRULE","SD","57325","8","SPM","SPM","IGSA","IGSA","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","23.12.2003","30.03.1998","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","COUNTY","","","","","","","NOT INSPECTED","DMCP","","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","S Courtland St","57325","Chamberlain","SD",43.808803,-99.333112,0.879,"","300","range",NA,NA
"300 WEST 2ND AVENUE CORSICANA TX 75110","NAVARTX","NAVARRO CO JAIL","300 WEST 2ND AVENUE","CORSICANA","NAVARRO","TX","75110","5","DAL","","IGSA","IGSA","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","04.07.2002","04.01.1990","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","NOT INSPECTED","DMCP","Over 72","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","W 2nd Ave","75110","Corsicana","TX",32.096092,-96.468277,0.892,"","300","range",NA,NA
"3000 SIDNEY ST SUITE 100 PITTSBURGH PA 15203","PITHOLD","PITTSBURGH HOLD ROOM","3000 SIDNEY ST SUITE 100","PITTSBURGH","ALLEGHENY","PA","15203","3","PHI","","Other","HOLD","Yes","Female/Male","","AS NEEDED","","1","12.10.2017","09.08.2017","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","","","84","481","223","0","68","400","191","0","74","51","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","NOT INSPECTED","DMCP","Under 72","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","","","","No","","3","400","1.00%","57","1","0.00%","1","1","Sidney St","15203","Pittsburgh","PA",40.428702,-79.969405,0.651,"","2498","street",NA,NA
"301 COURT STREET LITTLE VALLEY NY 14755","CATTANY","CATTARAUGUS COUNTY JAIL","301 COURT STREET","LITTLE VALLEY","CATTARAUGUS","NY","14755","2","BUF","BUF","IGSA","IGSA","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","01.08.2012","26.08.1993","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","YES","","COUNTY","","","","","$87.56","","NOT INSPECTED","DMCP","Over 72","","","N/A","Regular","NDS","No","Superior","Acceptable","22.01.2009","Regular","NDS","No","Superior","24.01.2008","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","Court St","14755","Little Valley","NY",42.251525,-78.800673,0.841,"","301","range",NA,NA
"301 E WALNUT STREET FRANKFORT IN 46041","CLINTIN","CLINTON COUNTY JAIL","301 E WALNUT STREET","FRANKFORT","CLINTON","IN","46041","7","CHI","CHI","IGSA","IGSA","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","COUNTY","","","","","","","NOT INSPECTED","DMCP","","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","E Walnut St","46041","Frankfort","IN",40.279789,-86.49664,0.743,"","1401","street",NA,NA
"301 FULLER STREET SOUTH SHAKOPEE MN 55372","SCOTTMN","SCOTT COUNTY JAIL","301 FULLER STREET SOUTH","SHAKOPEE","SCOTT","MN","55372","8","SPM","SPM","IGSA","IGSA","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","02.03.2003","30.12.1991","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","NOT INSPECTED","DMCP","Under 72","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","Fuller St S","55379",NA,NA,44.796378,-93.527667,0.673,"","301","range",NA,NA
"301 LA CAVERNA VAN HORN TX 79855","CULBETX","CULBERSON COUNTY","301 LA CAVERNA","VAN HORN","CULBERSON","TX","79855","5","ELP","","IGSA","IGSA","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","COUNTY","","","","","$37.19","","NOT INSPECTED","DMCP","Under 72","","","N/A","Regular","NDS","No","Superior","Acceptable","08.08.2008","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","la Caverna St","79855","Van Horn","TX",31.043081,-104.830975,0.876,"","301","range",NA,NA
"301 SOUTH CHESTNUT ST GAINSVILLE TX 76240","COOKETX","COOKE COUNTY JAIL","301 SOUTH CHESTNUT ST","GAINSVILLE","COOKE","TX","76240","5","DAL","DAL","IGSA","IGSA","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","30.10.1991","02.10.1989","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","COUNTY","","","","","","","NOT INSPECTED","DMCP","","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","S Chestnut St","76240","Gainesville","TX",33.622887,-97.147044,0.8,"","301","range",NA,NA
"301 SOUTH WALNUT STREET COTTONWOOD FALLS KS 66845","CHASEKS","CHASE COUNTY DETENTION FACILITY","301 SOUTH WALNUT STREET","COTTONWOOD FALLS","CHASE","KS","66845","10","CHI","WIC","IGSA","IGSA","Yes","Female/Male","A, B, C, D","AS NEEDED","","77","04.11.2017","25.07.1994","96","86","63","44","32","42","24","26","25","28","35","55","40","44","53","59","61","66","69","75","83","93","86","83","95","36","34","34","112","655","444","353","100","574","338","304","89","60","39","36","29","57","17","46","9","35","2","30","1","51","21","12","51","25","5","4","20","17","20","29","49","37","YES","COUNTY","COUNTY (SHERIFF)","COUNTY","04.03.2008","","","$48.50","Pro-bono Platform (Talton)","AUTHORIZED","DMCP","Over 72","NDS","Standard 2.11","Biennial","Regular","NDS","No","Acceptable","Acceptable","20.07.2017","Regular","NDS","No","Acceptable","16.07.2015","","NDS","Regular","No","Acceptable","","Acceptable","","Acceptable","","Acceptable","Superior","2008 DEFICIENT","Yes","NO","NO","NO","No","NONE","35","400","9.00%","34309","372","102.00%","22960","115","Walnut St","66845","Cottonwood Falls","KS",38.366841,-96.539009,0.795,"","299","street",NA,NA
"301 VICTORIA ST. COSTA MESA CA 92627","COSTACA","COSTA MESA COLLEGE HOSPITAL","301 VICTORIA ST.","COSTA MESA","ORANGE","CA","92627","9","LOS","LOS","Other","HOSPITAL","No","Female/Male","A, B, C, D","AS NEEDED","","0","06.05.2012","19.05.2008","0","0","0","0","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","HOSPITAL","","","","","","","NOT INSPECTED","OTHER","","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","Victoria St","92627","Costa Mesa","CA",33.652546,-117.912111,0.947,"","301","range",NA,NA
"302 NORTH PINE STREET CRESTON IA 50801","UNIONIA","UNION COUNTY JAIL","302 NORTH PINE STREET","CRESTON","UNION","IA","50801","8","SPM","OMA","IGSA","IGSA","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","19.12.2002","22.04.1999","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","NOT INSPECTED","DMCP","","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","N Pine St","50801","Creston","IA",41.059716,-94.361562,0.93,"","302","range",NA,NA
"302 SIXTH STREET ROSEAU MN 56751","ROSEAMN","ROSEAU COUNTY JAIL","302 SIXTH STREET","ROSEAU","ROSEAU","MN","56751","8","SPM","SPM","IGSA","IGSA","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","08.06.2009","18.06.1996","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","COUNTY","","01.06.1995","","","$50.00","","NOT INSPECTED","DMCP","Under 72","","","N/A","Regular","NDS","No","Superior","Acceptable","06.01.2010","Regular","NDS","No","Superior","07.01.2009","","N/A","N/A","No","","","","","","","","Superior","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","6th St SW","56751","Roseau","MN",48.840519,-95.767949,0.771,"","302","range",NA,NA
"3020 CONRAD LANE BURLINGTON KY 41005","BOONEKY","BOONE COUNTY JAIL","3020 CONRAD LANE","BURLINGTON","BOONE","KY","41005","6","CHI","CHI","USMS IGA","USMS IGA","Yes","Female/Male","A, B, C, D","200","67.00%","136","04.11.2017","15.02.1994","150","134","154","142","119","146","142","124","150","89","74","148","155","174","175","174","171","139","141","134","131","141","134","135","58","37","39","37","255","1623","1288","1170","80","594","372","298","83","91","62","57","30","104","32","121","12","130","9","110","22","41","47","25","101","28","3","2","37","37","29","30","66","68","YES","SOUTHERN HEALTH PARTNERS","COUNTY (JAILER)","COUNTY","09.10.1996","","","$55.00","Pro-bono Platform (Talton)","AUTHORIZED","DMCP","Over 72","NDS","","Annual","Regular","NDS","No","Acceptable","Acceptable","16.02.2017","Regular","NDS","No","Acceptable","19.02.2016","","NDS","Regular","No","Acceptable","Acceptable","Acceptable","Acceptable","Acceptable","Acceptable","Acceptable","Superior","","No","NO","NO","NO","No","NONE","35","400","9.00%","53474","372","102.00%","56080","195","Conrad Ln","41005","Burlington","KY",39.037352,-84.723517,0.947,"","3020","range",NA,NA
